sysname,chassis,source_ip,l3vpn,service_id,service_name,customer_id,interface,vpls,sap,ingress_qos_id,egress_qos_id,port,policy,card,buffer_min,buffer_max,resv_min,resv_max,shutdown
CULTUR-HMO437-GA,7750,10.190.0.121,vprn,1000000,VPRN-OYM-ATT,2,SONHRS0739_GESTION,SONHRS0739_GESTION,3/1/6:4021,1,1,3/1/6,,3,1,,
CULTUR-HMO437-GA,7750,10.190.0.121,vprn,1000000,VPRN-OYM-ATT,2,SONHRS0739_GESTION,SONHRS0739_GESTION,3/1/6:4021,1,1,3/1/6,,3,2,,
LAZCAR-HMO403-GA,7750,10.190.0.123,vprn,1000000,VPRN-OYM-ATT,2,GESTION-MDU,vpls-GESTION-MDU,1/1/4:99,10,10,1/1/4,,1,1,,
CULMTX-CUL011-EA,7750,10.190.0.151,ies,10,10,2,To-TP5000-ETHE1,rvpls-100,2/1/7,50,50,2/1/7,,2,1,,
CULMTX-CUL011-EA,7750,10.190.0.151,ies,10,10,2,To-TP5000-ETHE1,rvpls-100,2/1/7,50,50,2/1/7,,2,2,,
CULMTX-CUL011-EA,7750,10.190.0.151,vprn,1000001,VPRN-3G-ATT,2,IuB_UP_RNC220,vpls-IuB_UP_RNC220,4/1/4:151,2000,2000,4/1/4,,4,1,,
CULMTX-CUL011-EA,7750,10.190.0.151,vprn,1000001,VPRN-3G-ATT,2,IuB_UP_RNC220,vpls-IuB_UP_RNC220,4/1/4:151,2000,2000,4/1/4,,4,2,,
CULMTX-CUL011-EA,7750,10.190.0.151,vprn,1000003,VOICE-ATT,2,IuCS_UP_RNC220,vpls-IuCS_UP_RNC220,4/1/3:510,2000,2000,4/1/3,,4,1,,
CULMTX-CUL011-EA,7750,10.190.0.151,vprn,1000003,VOICE-ATT,2,IuCS_UP_RNC220,vpls-IuCS_UP_RNC220,4/1/3:510,2000,2000,4/1/3,,4,2,,
CULMTX-CUL011-EA,7750,10.190.0.151,vprn,1000005,UMTS-DATA-ATT,2,IuPS_UP_RNC220,vpls-IuPS_UP_RNC220,4/1/3:715,2000,2000,4/1/3,,4,1,,
CULMTX-CUL011-EA,7750,10.190.0.151,vprn,1000005,UMTS-DATA-ATT,2,IuPS_UP_RNC220,vpls-IuPS_UP_RNC220,4/1/3:715,2000,2000,4/1/3,,4,2,,
CULMTX-CUL011-EA,7750,10.190.0.151,vprn,1000006,RNC_IU_R-ATT,2,IuR_UP_RNC220,vpls-IuR_UP_RNC220,4/1/3:32,2000,2000,4/1/3,,4,1,,
CULMTX-CUL011-EA,7750,10.190.0.151,vprn,1000006,RNC_IU_R-ATT,2,IuR_UP_RNC220,vpls-IuR_UP_RNC220,4/1/3:32,2000,2000,4/1/3,,4,2,,
CULMTX-CUL011-EB,7750,10.190.0.152,ies,10,10,2,To-TP5000-ETHE2,rvpls-100,2/1/7,50,50,2/1/7,,2,1,,
CULMTX-CUL011-EB,7750,10.190.0.152,ies,10,10,2,To-TP5000-ETHE2,rvpls-100,2/1/7,50,50,2/1/7,,2,2,,
CULMTX-CUL011-EB,7750,10.190.0.152,vprn,1000000,VPRN-OYM-ATT,2,GESTION-MDU,vpls-GESTION-MDU,4/1/1:99,10,10,4/1/1,,4,1,,
CULMTX-CUL011-EB,7750,10.190.0.152,vprn,1000001,VPRN-3G-ATT,2,IuB_UP_RNC220,vpls-IuB_UP_RNC220,4/1/4:151,2000,2000,4/1/4,,4,1,,
CULMTX-CUL011-EB,7750,10.190.0.152,vprn,1000003,VPRN-VOICE-ATT,2,IuCS_UP_RNC220,vpls-IuCS_UP_RNC220,4/1/3:510,2000,2000,4/1/3,,4,1,,
CULMTX-CUL011-EB,7750,10.190.0.152,vprn,1000005,VPRN-UMTS-DATA-ATT,2,IuPS_UP_RNC220,vpls-IuPS_UP_RNC220,4/1/3:715,2000,2000,4/1/3,,4,1,,
CABALL-BCN1009-GA,7750,10.190.0.15,vprn,1000000,1000000,2,Gestion_BCN-1009_vlan4020,Gestion_BCN-1009_ceragon1,3/1/12:4020,10,10,3/1/12,,3,1,,
CABALL-BCN1009-GA,7750,10.190.0.15,vprn,1000000,1000000,2,Gestion_BCN-1009_vlan4020,Gestion_BCN-1009_ceragon1,3/1/12:4020,10,10,3/1/12,,3,2,,
HER-R10-EA,7750,10.190.0.164,vprn,1000000,VPRN-OYM-LTE-3G-ATT,2,Nexus-OAM-DC,NEXUS_MNGT,1/1/2:0,1,1,1/1/2,,1,1,,
HER-R10-EA,7750,10.190.0.164,vprn,1000000,VPRN-OYM-LTE-3G-ATT,2,Nexus-OAM-DC,NEXUS_MNGT,1/1/2:0,1,1,1/1/2,,1,2,,
HER-R10-EA,7750,10.190.0.164,vprn,1000000,VPRN-OYM-LTE-3G-ATT,2,MUR_RNC221,MUR_RNC221,1/1/3,10,10,1/1/3,,1,1,,
HER-R10-EA,7750,10.190.0.164,vprn,1000000,VPRN-OYM-LTE-3G-ATT,2,MUR_RNC221,MUR_RNC221,1/1/3,10,10,1/1/3,,1,2,,
HER-R10-EB,7750,10.190.0.165,vprn,1000000,VPRN-OYM-LTE-3G-ATT,2,Nexus-OAM-DC,NEXUS_MNGT,1/1/2:0,1,1,1/1/2,,1,1,,
HER-R10-EB,7750,10.190.0.165,vprn,1000000,VPRN-OYM-LTE-3G-ATT,2,Nexus-OAM-DC,NEXUS_MNGT,1/1/2:0,1,1,1/1/2,,1,2,,
HER-R10-EB,7750,10.190.0.165,vprn,1000000,VPRN-OYM-LTE-3G-ATT,2,MUR_RNC221,MUR_RNC221,1/1/3,10,10,1/1/3,,1,1,,
HER-R10-EB,7750,10.190.0.165,vprn,1000000,VPRN-OYM-LTE-3G-ATT,2,MUR_RNC221,MUR_RNC221,1/1/3,10,10,1/1/3,,1,2,,
MORTVA-BCN1028-GA,7750,10.190.0.16,vprn,429001,VPRN-GSM,2,To-GU-BCN-1125,BCN-1125,1/1/5:3753,2000,2001,1/1/5,,1,1,,
MORTVA-BCN1028-GA,7750,10.190.0.16,vprn,429001,VPRN-GSM,2,To-GU-BCN-1103,BCN-1103,1/1/5:3732,2000,2001,1/1/5,,1,1,,
MORTVA-BCN1028-GA,7750,10.190.0.16,vprn,429001,VPRN-GSM,2,To-GU-BCN-1009,BCN-1009,1/1/5:3726,2000,2001,1/1/5,,1,1,,
MORTVA-BCN1028-GA,7750,10.190.0.16,vprn,429001,VPRN-GSM,2,To-GU-BCN-1038,BCN-1038,1/1/5:3721,2000,2001,1/1/5,,1,1,,
MORTVA-BCN1028-GA,7750,10.190.0.16,vprn,429001,VPRN-GSM,2,To-GU-BCN-1040,BCN-1040,1/1/5:3724,2000,2001,1/1/5,,1,1,,
MORTVA-BCN1028-GA,7750,10.190.0.16,vprn,429001,VPRN-GSM,2,To-GU-BCN-1041,BCN-1041,1/1/5:3719,2000,2001,1/1/5,,1,1,,
MORTVA-BCN1028-GA,7750,10.190.0.16,vprn,429001,VPRN-GSM,2,To-GU-BCN-1126,BCN-1126,1/1/5:3754,2000,2001,1/1/5,,1,1,,
MORTVA-BCN1028-GA,7750,10.190.0.16,vprn,1000000,VPRN-OYM-ATT,2,To-GBCNMXC0054-2G-OYM,GBCNMXC0054-2G-OYM,1/1/5:2199,3000,3001,1/1/5,,1,1,,
MORTVA-BCN1028-GA,7750,10.190.0.16,vprn,1000000,VPRN-OYM-ATT,2,To-GBCNMXC0054-3G-OYM,GBCNMXC0054-3G-OYM,1/1/5:1299,3000,3001,1/1/5,,1,1,,
MORTVA-BCN1028-GA,7750,10.190.0.16,vprn,1000000,VPRN-OYM-ATT,2,To-LBCNMXC0054-4G-OYM,LBCNMXC0054-4G-OYM,1/1/5:1699,3000,3001,1/1/5,,1,1,,
MORTVA-BCN1028-GA,7750,10.190.0.16,vprn,1000000,VPRN-OYM-ATT,2,To-GBCNMXC0056-2G-OYM,GBCNMXC0056-2G-OYM,1/1/5:2198,3000,3001,1/1/5,,1,1,,
MORTVA-BCN1028-GA,7750,10.190.0.16,vprn,1000000,VPRN-OYM-ATT,2,To-UBCNMXC0056-3G-OYM,UBCNMXC0056-3G-OYM,1/1/5:1298,3000,3001,1/1/5,,1,1,,
MORTVA-BCN1028-GA,7750,10.190.0.16,vprn,1000000,VPRN-OYM-ATT,2,To-LBCNMXC0056-4G-OYM,LBCNMXC0056-4G-OYM,1/1/5:1698,3000,3001,1/1/5,,1,1,,
MORTVA-BCN1028-GA,7750,10.190.0.16,vprn,1000000,VPRN-OYM-ATT,2,To-GBCNMXC0074-2G-OYM,GBCNMXC0074-2G-OYM,1/1/5:2197,3000,3001,1/1/5,,1,1,,
MORTVA-BCN1028-GA,7750,10.190.0.16,vprn,1000000,VPRN-OYM-ATT,2,To-UBCNMXC0074-3G-OYM,UBCNMXC0074-3G-OYM,1/1/5:1297,3000,3001,1/1/5,,1,1,,
MORTVA-BCN1028-GA,7750,10.190.0.16,vprn,1000000,VPRN-OYM-ATT,2,To-LBCNMXC0074-4G-OYM,LBCNMXC0074-4G-OYM,1/1/5:1697,3000,3001,1/1/5,,1,1,,
MORTVA-BCN1028-GA,7750,10.190.0.16,vprn,1000000,VPRN-OYM-ATT,2,To-GBCNMXC0072-2G-OYM,GBCNMXC0072-2G-OYM,1/1/5:2196,3000,3001,1/1/5,,1,1,,
MORTVA-BCN1028-GA,7750,10.190.0.16,vprn,1000000,VPRN-OYM-ATT,2,To-UBCNMXC0072-3G-OYM,UBCNMXC0072-3G-OYM,1/1/5:1296,3000,3001,1/1/5,,1,1,,
MORTVA-BCN1028-GA,7750,10.190.0.16,vprn,1000000,VPRN-OYM-ATT,2,To-LBCNMXC0072-4G-OYM,LBCNMXC0072-4G-OYM,1/1/5:1696,3000,3001,1/1/5,,1,1,,
MORTVA-BCN1028-GA,7750,10.190.0.16,vprn,1000000,VPRN-OYM-ATT,2,MDUs-OLT,MDUs-OLT,1/1/5:99,1,1,1/1/5,,1,1,,
MORTVA-BCN1028-GA,7750,10.190.0.16,vprn,1000001,VPRN-3G-ATT,2,To-GBCNMXC0054-3G,GBCNMXC0054-3G,1/1/5:1099,2000,2001,1/1/5,,1,1,,
MORTVA-BCN1028-GA,7750,10.190.0.16,vprn,1000001,VPRN-3G-ATT,2,To-GBCNMXC0056-2G,GBCNMXC0056-2G,1/1/5:1898,2000,2001,1/1/5,,1,1,,
MORTVA-BCN1028-GA,7750,10.190.0.16,vprn,1000001,VPRN-3G-ATT,2,To-UBCNMXC0056-3G,UBCNMXC0056-3G,1/1/5:1098,2000,2001,1/1/5,,1,1,,
MORTVA-BCN1028-GA,7750,10.190.0.16,vprn,1000001,VPRN-3G-ATT,2,To-GBCNMXC0074-2G,GBCNMXC0074-2G,1/1/5:1897,2000,2001,1/1/5,,1,1,,
MORTVA-BCN1028-GA,7750,10.190.0.16,vprn,1000001,VPRN-3G-ATT,2,To-UBCNMXC0074-3G,UBCNMXC0074-3G,1/1/5:1097,2000,2001,1/1/5,,1,1,,
MORTVA-BCN1028-GA,7750,10.190.0.16,vprn,1000001,VPRN-3G-ATT,2,To-GBCNMXC0072-2G,GBCNMXC0072-2G,1/1/5:1896,2000,2001,1/1/5,,1,1,,
MORTVA-BCN1028-GA,7750,10.190.0.16,vprn,1000001,VPRN-3G-ATT,2,To-UBCNMXC0072-3G,UBCNMXC0072-3G,1/1/5:1096,2000,2001,1/1/5,,1,1,,
MORTVA-BCN1028-GA,7750,10.190.0.16,vprn,1000001,VPRN-3G-ATT,2,To-GBCNMXC0054-2G,GBCNMXC0054-2G,1/1/5:1899,2000,2001,1/1/5,,1,1,,
MORTVA-BCN1028-GA,7750,10.190.0.16,vprn,1000002,VPRN-LTE-ATT,2,To-LBCNMXC0054-4G,LBCNMXC0054-4G,1/1/5:1499,2000,2001,1/1/5,,1,1,,
MORTVA-BCN1028-GA,7750,10.190.0.16,vprn,1000002,VPRN-LTE-ATT,2,To-LBCNMXC0056-4G,LBCNMXC0056-4G,1/1/5:1498,2000,2001,1/1/5,,1,1,,
MORTVA-BCN1028-GA,7750,10.190.0.16,vprn,1000002,VPRN-LTE-ATT,2,To-LBCNMXC0074-4G,LBCNMXC0074-4G,1/1/5:1497,2000,2001,1/1/5,,1,1,,
MORTVA-BCN1028-GA,7750,10.190.0.16,vprn,1000002,VPRN-LTE-ATT,2,To-LBCNMXC0072-4G,LBCNMXC0072-4G,1/1/5:1496,2000,2001,1/1/5,,1,1,,
PASITO-CHI106-GA,7750,10.190.0.202,vprn,1000000,VPRN-OYM-ATT,2,To-CHI-106-01_1-GestionMW,To-CHI-106-01_1-GestionMW,3/1/7:4001,10,10,3/1/7,,3,1,,
PASITO-CHI106-GA,7750,10.190.0.202,vprn,1000000,VPRN-OYM-ATT,2,To-CHI-106-01_1-GestionMW,To-CHI-106-01_1-GestionMW,3/1/7:4001,10,10,3/1/7,,3,2,,
TIJMTX-BCN1015-EA,7750,10.190.0.20,ies,10,10,2,To-TP50001-ETHE1,rvpls-100,2/1/7:1240,10,10,2/1/7,,2,1,,
TIJMTX-BCN1015-EA,7750,10.190.0.20,ies,10,10,2,To-TP50001-ETHE1,rvpls-100,2/1/7:1240,10,10,2/1/7,,2,2,,
TIJMTX-BCN1015-EA,7750,10.190.0.20,vprn,1000000,1000000,2,VSWITCH,VSWITCH,4/1/2:1002,10,10,4/1/2,,4,1,,
TIJMTX-BCN1015-EA,7750,10.190.0.20,vprn,1000000,1000000,2,VSWITCH,VSWITCH,4/1/2:1002,10,10,4/1/2,,4,2,,
TIJMTX-BCN1015-EA,7750,10.190.0.20,vprn,1000000,1000000,2,GESTION-MDU,vpls-GESTION-MDU,1/1/4:99,10,10,1/1/4,,1,1,,
PARIND-TOR265-GA,7750,10.190.0.212,vprn,1000000,VPRN-OYM-ATT,1,To-TOR-265-Gestion-MW,To-TOR-265-Gestion-MW,3/1/1:4021,3000,3000,3/1/1,,3,1,,
PARIND-TOR265-GA,7750,10.190.0.212,vprn,1000000,VPRN-OYM-ATT,1,To-TOR-265-Gestion-MW,To-TOR-265-Gestion-MW,3/1/1:4021,3000,3000,3/1/1,,3,2,,
AIRSOU-TOR256-GA,7750,10.190.0.213,vprn,1000000,VPRN-OYM-ATT,2,GESTION-MDU,GESTION-MDU,10/1/4:99,10,10,10/1/4,,1,1,,
TIJMTX-BCN1015-EB,7750,10.190.0.21,vprn,1000000,1000000,2,To-TP50001-ETHE2,rvpls-100,2/1/7,50,50,2/1/7,,2,1,,
TIJMTX-BCN1015-EB,7750,10.190.0.21,vprn,1000000,1000000,2,To-TP50001-ETHE2,rvpls-100,2/1/7,50,50,2/1/7,,2,2,,
GRANJE-JUA008-GA,7750,10.190.0.224,vprn,1000000,VPRN-OYM-ATT,2,GESTION-MDU,vpls-GESTION-MDU,1/1/4:99,10,10,1/1/4,,1,1,,
FRAVIL-DGO604-GA,7750,10.190.0.227,vprn,1000000,VPRN-OYM-ATT,2,To-DGO-604_Inband_QW,Gestion-Redundancia-QW,3/1/12:4020,10,10,3/1/12,,3,1,,
FRAVIL-DGO604-GA,7750,10.190.0.227,vprn,1000000,VPRN-OYM-ATT,2,To-DGO-604_Inband_QW,Gestion-Redundancia-QW,3/1/12:4020,10,10,3/1/12,,3,2,,
DURMTX-DGO602-GA,7750,10.190.0.228,vprn,1000000,VPRN-OYM-ATT,2,GESTION-MDU,vpls-GESTION-MDU,10/1/4:99,10,10,10/1/4,,1,1,,
DURMTX-DGO602-GA,7750,10.190.0.228,vprn,1000000,VPRN-OYM-ATT,2,GESTION-MDU,vpls-GESTION-MDU,10/1/4:99,10,10,10/1/4,,1,2,,
TVAZTE-DGO600-GA,7750,10.190.0.229,vprn,1000000,VPRN-OYM-ATT,2,To-DGO-600-01_1-GestionMW,To-DGO-600-01_1-GestionMW,3/1/2:4001,3000,3000,3/1/2,,3,1,,
TVAZTE-DGO600-GA,7750,10.190.0.229,vprn,1000000,VPRN-OYM-ATT,2,To-DGO-600-01_1-GestionMW,To-DGO-600-01_1-GestionMW,3/1/2:4001,3000,3000,3/1/2,,3,2,,
TORMTX-TOR250-EA,7750,10.190.0.235,ies,10,10,2,To-TP50001-ETHE1,rvpls-100,1/1/5:12,50,50,1/1/5,,1,1,,
TORMTX-TOR250-EA,7750,10.190.0.235,vprn,1000000,VPRN-OYM-ATT,2,To-GESTION_MDU,GESTION_MDU,4/1/1:99,10,10,4/1/1,,4,1,,
TORMTX-TOR250-EA,7750,10.190.0.235,vprn,1000000,VPRN-OYM-ATT,2,To-GESTION_MDU,GESTION_MDU,4/1/1:99,10,10,4/1/1,,4,2,,
TORMTX-TOR250-EA,7750,10.190.0.235,vprn,1000000,VPRN-OYM-ATT,2,TOR-DOM,CONEXION_TOR-DOM,1/1/5:491,10,10,1/1/5,,1,1,,
TORMTX-TOR250-EB,7750,10.190.0.236,ies,10,10,2,To-TP50001-ETHE2,rvpls-100,2/1/7,50,50,2/1/7,,2,1,,
TORMTX-TOR250-EB,7750,10.190.0.236,ies,10,10,2,To-TP50001-ETHE2,rvpls-100,2/1/7,50,50,2/1/7,,2,2,,
ENSENA-BCN1051-GA,7750,10.190.0.23,vprn,1000000,VPRN-OYM-ATT,2,GESTION-MDU,vpls-GESTION-MDU,1/2/4:99,1,1,1/2/4,,1,1,,
ENSENA-BCN1051-GA,7750,10.190.0.23,vprn,1000000,VPRN-OYM-ATT,2,GESTION-MDU,vpls-GESTION-MDU,1/2/4:99,1,1,1/2/4,,1,2,,
CHIMTX-CHI100-EA,7750,10.190.0.245,ies,10,10,2,To-TP5000-ETHE,rvpls-100,1/1/5:14,50,50,1/1/5,default,1,1,,
CHIMTX-CHI100-EA,7750,10.190.0.245,vprn,1000000,VPRN-OYM-ATT,2,To-MONITOREO-EXFO,300100,2/1/3,1,1,2/1/3,,2,1,,
CHIMTX-CHI100-EA,7750,10.190.0.245,vprn,1000000,VPRN-OYM-ATT,2,To-MONITOREO-EXFO,300100,2/1/3,1,1,2/1/3,,2,2,,
CHIMTX-CHI100-EA,7750,10.190.0.245,vprn,1000000,VPRN-OYM-ATT,2,To-GESTION-OLT,GESTION-OLT,4/1/5:99,10,10,4/1/5,,4,1,,
CHIMTX-CHI100-EB,7750,10.190.0.246,ies,10,10,2,To-TP5000-ETHE,rvpls-100,2/1/7,50,50,2/1/7,,2,1,,
CHIMTX-CHI100-EB,7750,10.190.0.246,ies,10,10,2,To-TP5000-ETHE,rvpls-100,2/1/7,50,50,2/1/7,,2,2,,
TECATE-BCN1037-GA,7750,10.190.0.25,vprn,1000000,VPRN-OYM-ATT,2,To-BCN-1037-02_1-MW,To-BCN-1037-02_1-MW,2/1/4:4002,3000,3000,2/1/4,,2,1,,
TECATE-BCN1037-GA,7750,10.190.0.25,vprn,1000000,VPRN-OYM-ATT,2,BCNTCT0152(BCN-1037),BCNTCT0152(BCN-1037),1/2/4:4021,3000,3000,1/2/4,,1,1,,
TECATE-BCN1037-GA,7750,10.190.0.25,vprn,1000000,VPRN-OYM-ATT,2,BCNTCT0152(BCN-1037),BCNTCT0152(BCN-1037),1/2/4:4021,3000,3000,1/2/4,,1,2,,
TIJMTX-BCN1015-SA,7450,10.190.0.32,ies,331000,331000,1,To-MGMT-12e,VPLS-MGMT-12e,1/1/7,10,10,1/1/7,,1,1,,
TIJMTX-BCN1015-SA,7450,10.190.0.32,ies,331000,331000,1,To-MGMT-12e,VPLS-MGMT-12e,1/1/7,10,10,1/1/7,,1,2,,
TIJMTX-BCN1015-SB,7450,10.190.0.33,ies,331000,331000,1,To-MGMT-12e,VPLS-MGMT-12e,1/1/7,10,10,1/1/7,,1,1,,
TIJMTX-BCN1015-SB,7450,10.190.0.33,ies,331000,331000,1,To-MGMT-12e,VPLS-MGMT-12e,1/1/7,10,10,1/1/7,,1,2,,
PAZIND-BCS1015-GA,7750,10.190.0.37,vprn,429001,VPRN GSM,2,To-GU-BCS-1045,BCS-1045,2/1/2:3482,10,10,2/1/2,,2,1,,
LCAMTX-BCS1003-EA,7750,10.190.0.49,ies,10,10,2,To-TP5000-ETHE1,rvpls-100,2/1/7:1240,50,50,2/1/7,,2,1,,
LCAMTX-BCS1003-EA,7750,10.190.0.49,ies,10,10,2,To-TP5000-ETHE1,rvpls-100,2/1/7:1240,50,50,2/1/7,,2,2,,
LCAMTX-BCS1003-EA,7750,10.190.0.49,vprn,1000001,VPRN-3G-ATT,2,IuB_UP_RNC211,vpls-IuB_UP_RNC211,5/1/1:121,2000,2000,5/1/1,,5,1,,
LCAMTX-BCS1003-EA,7750,10.190.0.49,vprn,1000003,1000003,2,IuCS_UP_RNC211,vpls-IuCS_UP_RNC211,5/1/2:521,2000,2000,5/1/2,,5,1,,
LCAMTX-BCS1003-EA,7750,10.190.0.49,vprn,1000005,UMTS-DATA-ATT,2,IuPS_UP_RNC211,vpls-IuPS_UP_RNC211,5/1/2:721,2000,2000,5/1/2,,5,1,,
LCAMTX-BCS1003-EA,7750,10.190.0.49,vprn,1000006,IUR-ATT,2,IuR_UP_RNC220,vpls-IuR_UP_RNC211,5/1/2:25,2000,2000,5/1/2,,5,1,,
OTAY-BCN1051-GA,7750,10.190.0.4,vprn,1000000,VPRN-OYM-ATT,2,MDUs-OLT,vpls-GESTION-MDU,1/1/4:99,10,10,1/1/4,,1,1,,
LCAMTX-BCS1003-EB,7750,10.190.0.50,ies,10,10,2,To-TP5000-ETHE2,rvpls-100,2/1/7,50,50,2/1/7,,2,1,,
LCAMTX-BCS1003-EB,7750,10.190.0.50,ies,10,10,2,To-TP5000-ETHE2,rvpls-100,2/1/7,50,50,2/1/7,,2,2,,
LCAMTX-BCS1003-EB,7750,10.190.0.50,vprn,1000001,VPRN-3G-ATT,2,IuB_UP_RNC211,vpls-IuB_UP_RNC211,5/1/1:121,2000,2000,5/1/1,,5,1,,
LCAMTX-BCS1003-EB,7750,10.190.0.50,vprn,1000003,VPRN-VOICE-ATT,2,IuCS_UP_RNC211,vpls-IuCS_UP_RNC211,5/1/2:521,2000,2000,5/1/2,,5,1,,
LCAMTX-BCS1003-EB,7750,10.190.0.50,vprn,1000005,VPRN-UMTS-DATA-ATT,2,IuPS_UP_RNC211,vpls-IuPS_UP_RNC211,5/1/2:721,2000,2000,5/1/2,,5,1,,
LCAMTX-BCS1003-EB,7750,10.190.0.50,vprn,1000006,VPRN-RNC_IU_R-ATT,2,IuR_UP_RNC220,vpls-IuR_UP_RNC211,5/1/2:25,2000,2000,5/1/2,,5,1,,
TIJ-M5-EA,7750,10.190.0.56,vprn,1000000,VPRN-OYM-ATT,2,to_nexus_oym,NEXUS_MNGT,1/1/9:0,10,10,1/1/9,,1,1,,
TIJ-M5-EA,7750,10.190.0.56,vprn,1000000,VPRN-OYM-ATT,2,to_nexus_oym,NEXUS_MNGT,1/1/9:0,10,10,1/1/9,,1,2,,
TIJ-M5-EA,7750,10.190.0.56,vprn,1000000,VPRN-OYM-ATT,2,Blaulabs_Electromecanicos,Blaulabs,1/1/12,1,1,1/1/12,,1,1,,
TIJ-M5-EA,7750,10.190.0.56,vprn,1000000,VPRN-OYM-ATT,2,Blaulabs_Electromecanicos,Blaulabs,1/1/12,1,1,1/1/12,,1,2,,
TIJ-M5-EA,7750,10.190.0.56,vprn,1000002,VPRN-LTE-ATT,2,To-ASR_Vlan1703-eNB,eNB-ASR-Vlan1703,5/2/1:1703,2000,2000,5/2/1,default,5,1,,
TIJ-M5-EA,7750,10.190.0.56,vprn,1000002,VPRN-LTE-ATT,2,To-ASR_Vlan1703-eNB,eNB-ASR-Vlan1703,5/2/1:1703,2000,2000,5/2/1,default,5,2,,
TIJ-M5-EA,7750,10.190.0.56,vprn,1000005,VPRN-UMTS-DATA-ATT,2,To-ASR_Vlan716-UMTS,UMTS-ASR-Vlan716,5/2/1:716,2000,2000,5/2/1,default,5,1,,
TIJ-M5-EA,7750,10.190.0.56,vprn,1000005,VPRN-UMTS-DATA-ATT,2,To-ASR_Vlan716-UMTS,UMTS-ASR-Vlan716,5/2/1:716,2000,2000,5/2/1,default,5,2,,
TIJ-M5-EA,7750,10.190.0.56,vprn,1000007,VPRN-ATT-GX,2,To-ASR_Vlan1201-Gx,Gx-ASR-Vlan1201,5/2/1:1201,2000,2000,5/2/1,default,5,1,,
TIJ-M5-EA,7750,10.190.0.56,vprn,1000007,VPRN-ATT-GX,2,To-ASR_Vlan1201-Gx,Gx-ASR-Vlan1201,5/2/1:1201,2000,2000,5/2/1,default,5,2,,
TIJ-M5-EA,7750,10.190.0.56,vprn,1000008,VPRN-ATT-GY,2,To-ASR_Vlan1301-Gy,Gy-ASR-Vlan1301,5/2/1:1301,2000,2000,5/2/1,default,5,1,,
TIJ-M5-EA,7750,10.190.0.56,vprn,1000008,VPRN-ATT-GY,2,To-ASR_Vlan1301-Gy,Gy-ASR-Vlan1301,5/2/1:1301,2000,2000,5/2/1,default,5,2,,
